"No.","Time","Source","Destination","Protocol","Length","Leftover Capture Data","wValue","Info"
"709","128.715940000","host","7.0","USB","80","83e054fef090e6bce05480ff13131354","0x06c9","URB_CONTROL out"
"711","128.720366000","host","7.0","USB","80","1fffe0540f2f90e683f0e04420f00207","0x06d9","URB_CONTROL out"
"713","128.724747000","host","7.0","USB","80","6b90e6a0e04401f08078120050507390","0x06e9","URB_CONTROL out"
"715","128.729137000","host","7.0","USB","80","e6b8e024fe60202402706790e6bae0b4","0x06f9","URB_CONTROL out"
"717","128.733493000","host","7.0","USB","80","0104d200805c90e6bae06402605490e6","0x0709","URB_CONTROL out"
"719","128.737862000","host","7.0","USB","80","a0e04401f0804b90e6bce0547eff7e00","0x0719","URB_CONTROL out"
"721","128.742513000","host","7.0","USB","80","e0d3948040067c007d0180047c007d00","0x0729","URB_CONTROL out"
"723","128.746866000","host","7.0","USB","80","ec4efeed4f2436f58274003ef583e493","0x0739","URB_CONTROL out"
"725","128.751233000","host","7.0","USB","80","ff3395e0feef24a1ffee34e68f82f583","0x0749","URB_CONTROL out"
"727","128.755614000","host","7.0","USB","80","e04401f0800c120056500790e6a0e044","0x0759","URB_CONTROL out"
"729","128.762459000","host","7.0","USB","73","01f090e6a0e04480f0","0x0769","URB_CONTROL out"
"731","128.766892000","host","7.0","USB","65","22","0x0772","URB_CONTROL out"
"733","128.771253000","host","7.0","USB","67","02002e","0x0033","URB_CONTROL out"
"735","128.775630000","host","7.0","USB","68","53d8ef32","0x002e","URB_CONTROL out"
"737","128.779978000","host","7.0","USB","67","021196","0x002b","URB_CONTROL out"
"739","128.784383000","host","7.0","USB","80","c0e0b287e509150970021508e5094508","0x1196","URB_CONTROL out"
"741","128.788756000","host","7.0","USB","80","701575080475091f300206b2a1d2a080","0x11a6","URB_CONTROL out"
"743","128.793717000","host","7.0","USB","80","04b2a0d2a1c20275cdf875cc40c2cfd0","0x11b6","URB_CONTROL out"
"745","128.798144000","host","7.0","USB","66","e032","0x11c6","URB_CONTROL out"
"747","128.802461000","host","7.0","USB","80","1201000200000040b504226000000102","0x0e00","URB_CONTROL out"
"749","128.806867000","host","7.0","USB","80","00010a06000200000040010009022000","0x0e10","URB_CONTROL out"
"751","128.811431000","host","7.0","USB","80","01010080320904000002ff0000000705","0x0e20","URB_CONTROL out"
"753","128.815887000","host","7.0","USB","80","02020002000705860200020009022000","0x0e30","URB_CONTROL out"
"755","128.820235000","host","7.0","USB","80","01010080320904000004ff0000000705","0x0e40","URB_CONTROL out"
"757","128.824643000","host","7.0","USB","80","02024000000705860240000004030904","0x0e50","URB_CONTROL out"
